Agent,Date,Grade,Market,Origin,Package,Price,Quantity,ShippingType,Species,TradeType,Unit,UnitPrice
강릉농산물,20150202,특,강릉농산물도매시장,경상남도 김해시,상자,14000,55,협동,설향,경매,1.5,9334
강릉농산물,20150218,상,강릉농산물도매시장,경상남도 김해시,상자,15900,34,협동,설향,경매,1.5,10600
강릉농산물,20150218,특,강릉농산물도매시장,경상남도 김해시,상자,23500,5,협동,설향,경매,1.5,15667
강릉농산물,20150211,특,강릉농산물도매시장,경상남도 김해시,상자,12400,1,협동,설향,경매,1.5,8267
강릉농산물,20150203,상,강릉농산물도매시장,경상남도 김해시,상자,11800,19,협동,설향,경매,1.5,7867
강릉농산물,20150203,상,강릉농산물도매시장,경상남도 김해시,상자,8300,4,협동,설향,경매,1.5,5534
강릉농산물,20150224,상,강릉농산물도매시장,경상남도 김해시,상자,4200,30,협동,설향,경매,1.5,2800
강릉농산물,20150212,상,강릉농산물도매시장,경상남도 김해시,상자,10000,4,협동,설향,경매,2,5000
강릉농산물,20150213,상,강릉농산물도매시장,경상남도 김해시,상자,7400,19,협동,설향,경매,1.5,4934
강릉농산물,20150225,상,강릉농산물도매시장,경상남도 김해시,상자,3800,13,협동,설향,경매,1.5,2534
강릉농산물,20150225,특,강릉농산물도매시장,경상남도 김해시,상자,7500,7,협동,설향,경매,1.5,5000
강릉농산물,20150206,특,강릉농산물도매시장,경상남도 김해시,상자,12900,44,협동,설향,경매,1.5,8600
강릉농산물,20150206,특,강릉농산물도매시장,경상남도 김해시,상자,13900,22,협동,설향,경매,1.5,9267
강릉농산물,20150226,상,강릉농산물도매시장,경상남도 김해시,상자,7100,27,협동,설향,경매,1.5,4734
강릉농산물,20150228,상,강릉농산물도매시장,경상남도 김해시,상자,8300,54,협동,설향,경매,1.5,5534
강릉농산물,20150228,상,강릉농산물도매시장,경상남도 김해시,상자,5300,29,협동,설향,경매,1.5,3534
합동청과,20150217,무등급,원주농산물도매시장,경상북도 청도군,기타,14600,35,협동,기타,경매,1.5,9734
합동청과,20150217,무등급,원주농산물도매시장,경상남도 밀양시,기타,14000,7,협동,기타,경매,1.5,9334
합동청과,20150217,무등급,원주농산물도매시장,경상남도 밀양시,기타,17600,35,협동,기타,경매,1.5,11734
합동청과,20150217,무등급,원주농산물도매시장,경상남도 밀양시,기타,16600,60,협동,기타,경매,1.5,11067
합동청과,20150202,무등급,원주농산물도매시장,경상남도 밀양시,기타,11800,13,협동,기타,경매,1.5,7867
합동청과,20150202,무등급,원주농산물도매시장,경상남도 밀양시,기타,5200,2,협동,기타,경매,1.5,3467
합동청과,20150202,무등급,원주농산물도매시장,경상남도 밀양시,기타,10000,38,협동,기타,경매,1.5,6667
합동청과,20150202,무등급,원주농산물도매시장,경상남도 밀양시,기타,7500,12,협동,기타,경매,1.5,5000
합동청과,20150218,무등급,원주농산물도매시장,경상남도 밀양시,기타,15200,49,협동,기타,경매,1.5,10134
합동청과,20150218,무등급,원주농산물도매시장,경상남도 밀양시,기타,16500,61,협동,기타,경매,1.5,11000
합동청과,20150210,무등급,원주농산물도매시장,경상남도 밀양시,기타,10500,17,협동,기타,경매,1.5,7000
합동청과,20150203,무등급,원주농산물도매시장,경상남도 밀양시,기타,9800,10,협동,기타,경매,1.5,6534
합동청과,20150211,무등급,원주농산물도매시장,경상남도 밀양시,기타,12000,42,협동,기타,경매,1.5,8000
합동청과,20150211,무등급,원주농산물도매시장,경상남도 밀양시,기타,5600,28,협동,기타,경매,1.5,3734
합동청과,20150211,무등급,원주농산물도매시장,경상남도 밀양시,기타,8000,3,협동,기타,경매,1.5,5334
합동청과,20150223,무등급,원주농산물도매시장,경상남도 밀양시,기타,6500,13,협동,기타,경매,1.5,4334
합동청과,20150223,무등급,원주농산물도매시장,경상남도 밀양시,기타,4500,20,협동,기타,경매,1.5,3000
합동청과,20150205,무등급,원주농산물도매시장,경상남도 밀양시,기타,8600,25,협동,기타,경매,1.5,5734
합동청과,20150205,무등급,원주농산물도매시장,경상남도 밀양시,기타,10800,13,협동,기타,경매,1.5,7200
합동청과,20150205,무등급,원주농산물도매시장,경상남도 밀양시,기타,3000,3,협동,기타,경매,1.5,2000
합동청과,20150225,무등급,원주농산물도매시장,경상남도 밀양시,기타,4500,25,협동,기타,경매,1.5,3000
합동청과,20150225,무등급,원주농산물도매시장,경상남도 밀양시,기타,4700,12,협동,기타,경매,1.5,3134
합동청과,20150214,무등급,원주농산물도매시장,경상남도 밀양시,기타,10500,21,협동,기타,경매,1.5,7000
합동청과,20150214,무등급,원주농산물도매시장,경상남도 밀양시,기타,6500,9,협동,기타,경매,1.5,4334
합동청과,20150206,무등급,원주농산물도매시장,경상남도 밀양시,기타,11300,18,협동,기타,경매,1.5,7534
합동청과,20150206,무등급,원주농산물도매시장,경상남도 밀양시,기타,6700,42,협동,기타,경매,1.5,4467
합동청과,20150206,무등급,원주농산물도매시장,경상남도 밀양시,기타,12800,25,협동,기타,경매,1.5,8534
합동청과,20150216,무등급,원주농산물도매시장,경상남도 밀양시,기타,13000,27,협동,기타,경매,1.5,8667
합동청과,20150207,무등급,원주농산물도매시장,경상남도 밀양시,기타,3500,4,협동,기타,경매,1.5,2334
합동청과,20150207,무등급,원주농산물도매시장,경상남도 밀양시,기타,7000,25,협동,기타,경매,1.5,4667
합동청과,20150228,무등급,원주농산물도매시장,경상남도 밀양시,기타,7000,44,협동,기타,경매,1.5,4667
합동청과,20150228,무등급,원주농산물도매시장,경상남도 밀양시,기타,9200,26,협동,기타,경매,1.5,6134
중원청과,20150225,보통,충주농수산물도매시장,충청북도 충주시,상자,10000,17,협동,설향,경매,2,5000
중원청과,20150226,보통,충주농수산물도매시장,경상남도 합천군,상자,5000,60,협동,설향,경매,1,5000
중원청과,20150228,보통,충주농수산물도매시장,경상남도 합천군,상자,5500,50,협동,설향,경매,1,5500
중원청과,20150209,보통,충주농수산물도매시장,경상남도 밀양시,상자,3500,34,협동,설향,경매,1,3500
천안농협(공),20150209,특,천안농산물도매시장,경상남도 김해시,기타,10000,11,개별,기타,경매,1.5,6667
천안농협(공),20150209,특,천안농산물도매시장,경상남도 김해시,기타,9000,30,개별,기타,경매,1.5,6000
천안농협(공),20150217,특,천안농산물도매시장,경상남도 김해시,기타,11000,29,개별,기타,경매,1.5,7334
천안농협(공),20150217,특,천안농산물도매시장,경상남도 김해시,기타,15000,28,개별,기타,경매,1.5,10000
천안농협(공),20150218,상,천안농산물도매시장,경상남도 김해시,기타,7000,49,개별,기타,경매,1.5,4667
천안농협(공),20150203,보통,천안농산물도매시장,경상남도 김해시,기타,5000,5,개별,기타,경매,1.5,3334
천안농협(공),20150213,상,천안농산물도매시장,경상남도 김해시,기타,5500,15,개별,기타,경매,1.5,3667
천안농협(공),20150206,특,천안농산물도매시장,경상남도 김해시,기타,11000,2,개별,기타,경매,1.5,7334
천안농협(공),20150227,상,천안농산물도매시장,경상남도 김해시,기타,5000,5,개별,기타,경매,1.5,3334
천안농협(공),20150207,특,천안농산물도매시장,경상남도 김해시,기타,13000,13,개별,기타,경매,1.5,8667
천안농협(공),20150207,특,천안농산물도매시장,경상남도 김해시,기타,12000,6,개별,기타,경매,1.5,8000
천안농협(공),20150228,특,천안농산물도매시장,경상남도 김해시,기타,8500,29,개별,기타,경매,1.5,5667
천안농협(공),20150203,보통,천안농산물도매시장,경상남도 김해시,기타,6500,31,개별,장희,경매,1.5,4334
천안농협(공),20150227,특,천안농산물도매시장,경상남도 김해시,기타,4500,37,개별,장희,경매,1.5,3000
천안농협(공),20150210,특,천안농산물도매시장,경상남도 김해시,기타,8000,16,개별,매향,경매,1.5,5334
천안농협(공),20150203,특,천안농산물도매시장,경상남도 김해시,기타,12000,7,개별,매향,경매,1.5,8000
천안농협(공),20150203,특,천안농산물도매시장,경상남도 김해시,기타,6000,5,개별,매향,경매,1.5,4000
천안농협(공),20150212,특,천안농산물도매시장,경상남도 김해시,기타,9000,6,개별,매향,경매,1.5,6000
천안농협(공),20150212,등외,천안농산물도매시장,경상남도 김해시,기타,2000,4,개별,매향,경매,1.5,1334
천안농협(공),20150205,특,천안농산물도매시장,경상남도 김해시,기타,12000,8,개별,매향,경매,1.5,8000
천안농협(공),20150213,특,천안농산물도매시장,경상남도 김해시,기타,12000,21,개별,매향,경매,1.5,8000
천안농협(공),20150207,특,천안농산물도매시장,경상남도 김해시,기타,12000,6,개별,매향,경매,1.5,8000
천안농협(공),20150217,특,천안농산물도매시장,충청남도 논산시,기타,17000,96,개별,설향,경매,2,8500
천안농협(공),20150217,특,천안농산물도매시장,충청남도 천안시,기타,16000,80,개별,설향,경매,2,8000
천안농협(공),20150218,상,천안농산물도매시장,충청남도 논산시,기타,3500,24,개별,설향,경매,1,3500
천안농협(공),20150218,특,천안농산물도매시장,충청남도 논산시,기타,14000,120,개별,설향,경매,1,14000
천안농협(공),20150218,특,천안농산물도매시장,충청남도 논산시,기타,12000,15,개별,설향,경매,1,12000
천안농협(공),20150218,특,천안농산물도매시장,경상남도 김해시,기타,15000,13,개별,설향,경매,1.5,10000
천안농협(공),20150210,보통,천안농산물도매시장,충청남도 논산시,기타,2000,3,개별,설향,경매,1,2000
천안농협(공),20150202,보통,천안농산물도매시장,충청남도 논산시,기타,12000,10,개별,설향,경매,2,6000
천안농협(공),20150202,보통,천안농산물도매시장,충청남도 논산시,기타,4500,17,개별,설향,경매,1,4500
천안농협(공),20150202,특,천안농산물도매시장,경상남도 김해시,기타,10000,8,개별,설향,경매,1.5,6667
천안농협(공),20150211,상,천안농산물도매시장,충청남도 천안시,기타,10000,5,개별,설향,경매,2,5000
천안농협(공),20150211,상,천안농산물도매시장,충청남도 논산시,기타,11000,4,개별,설향,경매,2,5500
천안농협(공),20150211,상,천안농산물도매시장,충청남도 논산시,기타,4500,3,개별,설향,경매,1,4500
천안농협(공),20150211,보통,천안농산물도매시장,충청남도 논산시,기타,3000,1,개별,설향,경매,1,3000
천안농협(공),20150223,특,천안농산물도매시장,충청남도 논산시,기타,6600,36,개별,설향,경매,1,6600
천안농협(공),20150223,상,천안농산물도매시장,경상남도 김해시,기타,7500,25,개별,설향,경매,1.5,5000
천안농협(공),20150203,보통,천안농산물도매시장,충청남도 논산시,기타,10000,7,개별,설향,경매,2,5000
천안농협(공),20150224,특,천안농산물도매시장,경상남도 김해시,기타,8500,15,개별,설향,경매,1.5,5667
천안농협(공),20150204,특,천안농산물도매시장,경상남도 김해시,기타,11000,11,개별,설향,경매,1.5,7334
천안농협(공),20150212,보통,천안농산물도매시장,충청남도 논산시,기타,4000,3,개별,설향,경매,1,4000
천안농협(공),20150205,상,천안농산물도매시장,경상남도 김해시,기타,5500,8,개별,설향,경매,1,5500
천안농협(공),20150213,특,천안농산물도매시장,충청남도 논산시,기타,18000,28,개별,설향,경매,2,9000
천안농협(공),20150213,보통,천안농산물도매시장,충청남도 논산시,기타,3000,15,개별,설향,경매,1,3000
천안농협(공),20150213,보통,천안농산물도매시장,충청남도 논산시,기타,4000,14,개별,설향,경매,1,4000
천안농협(공),20150213,특,천안농산물도매시장,경상남도 김해시,기타,8000,17,개별,설향,경매,1.5,5334
천안농협(공),20150213,보통,천안농산물도매시장,경상남도 김해시,기타,4000,15,개별,설향,경매,1.5,2667
천안농협(공),20150225,특,천안농산물도매시장,충청남도 논산시,기타,5000,66,개별,설향,경매,1,5000
천안농협(공),20150225,특,천안농산물도매시장,경상남도 김해시,기타,8000,35,개별,설향,경매,1.5,5334
천안농협(공),20150226,상,천안농산물도매시장,충청남도 논산시,기타,4000,47,개별,설향,경매,1,4000
천안농협(공),20150226,보통,천안농산물도매시장,충청남도 논산시,기타,2500,9,개별,설향,경매,1,2500
천안농협(공),20150226,특,천안농산물도매시장,충청남도 논산시,기타,9000,61,개별,설향,경매,2,4500
천안농협(공),20150227,상,천안농산물도매시장,충청남도 논산시,기타,4000,31,개별,설향,경매,1,4000
천안농협(공),20150227,상,천안농산물도매시장,충청남도 논산시,기타,4300,9,개별,설향,경매,1,4300
천안농협(공),20150227,특,천안농산물도매시장,충청남도 논산시,기타,12000,27,개별,설향,경매,2,6000
천안농협(공),20150227,특,천안농산물도매시장,충청남도 논산시,기타,5200,98,개별,설향,경매,1,5200
천안농협(공),20150227,보통,천안농산물도매시장,충청남도 논산시,기타,2300,15,개별,설향,경매,1,2300
천안농협(공),20150227,보통,천안농산물도매시장,충청남도 천안시,기타,4500,68,개별,설향,경매,1,4500
천안농협(공),20150207,보통,천안농산물도매시장,충청남도 논산시,기타,7000,2,개별,설향,경매,2,3500
천안농협(공),20150228,상,천안농산물도매시장,충청남도 논산시,기타,4500,27,개별,설향,경매,1,4500
천안농협(공),20150228,특,천안농산물도매시장,충청남도 논산시,기타,11500,30,개별,설향,경매,2,5750
천안농협(공),20150209,특,천안농산물도매시장,충청남도 논산시,기타,14000,13,개별,기타,경매,2,7000
천안농협(공),20150218,특,천안농산물도매시장,충청남도 논산시,기타,20500,8,개별,기타,경매,2,10250
천안농협(공),20150210,특,천안농산물도매시장,충청남도 논산시,기타,9000,75,개별,기타,경매,1,9000
천안농협(공),20150210,보통,천안농산물도매시장,충청남도 논산시,기타,3500,5,개별,기타,경매,1,3500
천안농협(공),20150223,등외,천안농산물도매시장,충청남도 논산시,기타,3000,1,개별,기타,경매,1,3000
천안농협(공),20150213,보통,천안농산물도매시장,충청남도 논산시,기타,3200,6,개별,기타,경매,1,3200
천안농협(공),20150216,특,천안농산물도매시장,충청남도 논산시,기타,11000,33,개별,기타,경매,1,11000
대전원협(공),20150209,특,대전노은농수산물도매시장,세종특별자치시,기타,18500,12,개별,설향,경매,2,9250
대전원협(공),20150209,상,대전노은농수산물도매시장,충청남도 논산시,기타,5000,25,개별,설향,경매,1,5000
대전원협(공),20150218,보통,대전노은농수산물도매시장,세종특별자치시,기타,2600,51,개별,설향,경매,1,2600
대전원협(공),20150202,특,대전노은농수산물도매시장,세종특별자치시,기타,21300,14,개별,설향,경매,2,10650
대전원협(공),20150203,보통,대전노은농수산물도매시장,세종특별자치시,기타,6100,2,개별,설향,경매,2,3050
대전원협(공),20150203,특,대전노은농수산물도매시장,대전광역시 유성구,기타,14000,3,개별,설향,경매,2,7000
대전원협(공),20150224,상,대전노은농수산물도매시장,전라북도 완주군,기타,3000,10,개별,설향,경매,1,3000
대전원협(공),20150224,상,대전노은농수산물도매시장,세종특별자치시,기타,6800,4,개별,설향,경매,2,3400
대전원협(공),20150204,상,대전노은농수산물도매시장,충청남도 논산시,기타,7700,13,개별,설향,경매,2,3850
대전원협(공),20150212,특,대전노은농수산물도매시장,세종특별자치시,기타,8700,19,개별,설향,경매,1,8700
대전원협(공),20150212,특,대전노은농수산물도매시장,경상북도 김천시,기타,17600,5,개별,설향,경매,2,8800
대전원협(공),20150225,특,대전노은농수산물도매시장,세종특별자치시,기타,13200,66,개별,설향,경매,2,6600
대전원협(공),20150225,상,대전노은농수산물도매시장,대전광역시 유성구,기타,6000,4,개별,설향,경매,2,3000
대전원협(공),20150226,특,대전노은농수산물도매시장,충청남도 논산시,기타,5000,53,개별,설향,경매,1,5000
대전원협(공),20150226,특,대전노은농수산물도매시장,전라북도 완주군,기타,4800,30,개별,설향,경매,1,4800
대전원협(공),20150227,특,대전노은농수산물도매시장,충청남도 논산시,기타,5000,17,개별,설향,경매,1,5000
대전원협(공),20150227,특,대전노은농수산물도매시장,세종특별자치시,기타,13000,7,개별,설향,경매,2,6500
대전원협(공),20150227,상,대전노은농수산물도매시장,충청남도 논산시,기타,2500,26,개별,설향,경매,1,2500
대전원협(공),20150207,특,대전노은농수산물도매시장,대전광역시 유성구,기타,17800,41,개별,설향,경매,2,8900
대전원협(공),20150207,보통,대전노은농수산물도매시장,세종특별자치시,기타,5200,4,개별,설향,경매,1,5200
