Agent,Date,Grade,Market,Origin,Package,Price,Quantity,ShippingType,Species,TradeType,Unit,UnitPrice
경북능금농협(공),20150110,상,포항농산물도매시장,경상북도 경주시,기타,13500,32,개별,설향,경매,1.5,9000
경북능금농협(공),20150110,특,포항농산물도매시장,경상북도 경주시,기타,13500,35,개별,설향,경매,1.5,9000
경북능금농협(공),20150119,특,포항농산물도매시장,경상북도 경주시,기타,5500,10,개별,설향,경매,1,5500
경북능금농협(공),20150119,상,포항농산물도매시장,경상북도 경주시,기타,12500,7,개별,설향,경매,1.5,8334
경북능금농협(공),20150126,상,포항농산물도매시장,경상북도 경주시,기타,5800,42,개별,설향,경매,1,5800
경북능금농협(공),20150112,상,포항농산물도매시장,경상북도 경주시,기타,5000,6,개별,설향,경매,1,5000
경북능금농협(공),20150112,특,포항농산물도매시장,경상북도 경주시,기타,16000,55,개별,설향,경매,1.5,10667
경북능금농협(공),20150105,특,포항농산물도매시장,경상북도 경주시,기타,18700,59,개별,설향,경매,1.5,12467
경북능금농협(공),20150105,특,포항농산물도매시장,경상북도 경주시,기타,14600,28,개별,설향,경매,1.5,9734
경북능금농협(공),20150127,상,포항농산물도매시장,경상북도 경주시,기타,12600,17,개별,설향,경매,1.5,8400
경북능금농협(공),20150127,상,포항농산물도매시장,경상북도 경주시,기타,12600,42,개별,설향,경매,1.5,8400
경북능금농협(공),20150127,5등,포항농산물도매시장,경상북도 경주시,기타,9000,20,개별,설향,경매,1.5,6000
경북능금농협(공),20150113,특,포항농산물도매시장,경상북도 경주시,기타,13800,27,개별,설향,경매,1.5,9200
경북능금농협(공),20150114,특,포항농산물도매시장,경상북도 경주시,기타,15500,25,개별,설향,경매,1.5,10334
경북능금농협(공),20150123,특,포항농산물도매시장,경상북도 경주시,기타,16500,61,개별,설향,경매,1.5,11000
경북능금농협(공),20150130,상,포항농산물도매시장,경상북도 경주시,기타,13200,3,개별,설향,경매,1.5,8800
경북능금농협(공),20150130,보통,포항농산물도매시장,경상북도 경주시,기타,11600,9,개별,설향,경매,1.5,7734
경북능금농협(공),20150108,특,포항농산물도매시장,경상북도 경주시,기타,18200,40,개별,설향,경매,1.5,12134
경북능금농협(공),20150131,상,포항농산물도매시장,경상북도 경주시,기타,13000,21,개별,설향,경매,1.5,8667
경북능금농협(공),20150124,특,포항농산물도매시장,경상북도 경주시,기타,13600,9,개별,설향,경매,1.5,9067
경북능금농협(공),20150124,특,포항농산물도매시장,경상북도 경주시,기타,11000,2,개별,설향,경매,1,11000
경북능금농협(공),20150105,특,포항농산물도매시장,경상북도 청도군,기타,13200,49,개별,기타,경매,1.5,8800
경북능금농협(공),20150105,등외,포항농산물도매시장,경상북도 청도군,기타,13000,12,개별,기타,경매,1.5,8667
포항농협(공),20150117,특,포항농산물도매시장,경상북도 경주시,기타,15500,30,개별,설향,경매,1.5,10334
포항농협(공),20150110,특,포항농산물도매시장,경상북도 포항시,기타,14000,25,개별,설향,경매,1.5,9334
포항농협(공),20150112,보통,포항농산물도매시장,경상북도 경주시,기타,7200,39,개별,설향,경매,1,7200
포항농협(공),20150120,무등급,포항농산물도매시장,경상북도 포항시,기타,5000,4,개별,설향,경매,1,5000
